month,orders,avg_order_value_pkr,revenue_pkr,active_promo_days,rainy_days,is_ramadan_month
2024-09,1248,885.74,1105403.52,7,2,0
2024-10,1395,899.81,1255234.95,10,2,0
2024-11,1476,882.55,1302643.8,8,1,0
2024-12,1452,863.56,1253889.12,4,0,0
2025-01,1726,876.57,1512959.82,12,6,0
2025-02,1607,909.38,1461373.66,6,4,0
2025-03,1618,930.98,1506325.64,6,0,1
2025-04,1400,942.15,1319010.0,10,0,0
2025-05,1451,913.99,1326199.49,8,1,0
2025-06,1510,940.72,1420487.2,10,3,0
2025-07,1529,918.02,1403652.58,4,8,0
2025-08,1601,920.92,1474392.92,9,7,0
2025-09,1505,967.87,1456644.35,5,0,0
2025-10,1714,1005.81,1723958.34,11,3,0
2025-11,1891,975.87,1845370.17,11,1,0
2025-12,1888,971.55,1834286.4,8,2,0
2026-01,2038,966.76,1970256.88,12,6,0
2026-02,1933,957.4,1850654.2,10,3,0
2026-03,2126,1000.2,2126425.2,11,3,1
2026-04,1772,1004.75,1780417.0,8,2,0
2026-05,1847,1020.97,1885731.59,10,3,0
2026-06,1659,984.47,1633235.73,10,0,0
2026-07,1945,981.68,1909367.6,11,8,0
2026-08,1870,1032.12,1930064.4,8,8,0
