month,actual_orders,predicted_orders,actual_revenue,predicted_revenue
2024-09,1248.0,,1105403.52,
2024-10,1395.0,,1255234.95,
2024-11,1476.0,,1302643.8,
2024-12,1452.0,,1253889.12,
2025-01,1726.0,,1512959.82,
2025-02,1607.0,,1461373.66,
2025-03,1618.0,1484.0,1506325.64,1315250.8116666668
2025-04,1400.0,1545.6666666666667,1319010.0,1382071.1649999998
2025-05,1451.0,1546.5,1326199.49,1392700.34
2025-06,1510.0,1542.3333333333333,1420487.2,1396626.2883333333
2025-07,1529.0,1552.0,1403652.58,1424392.6349999998
2025-08,1601.0,1519.1666666666667,1474392.92,1406174.7616666667
2025-09,1505.0,1518.1666666666667,1456644.35,1408344.6383333334
2025-10,1714.0,1499.3333333333333,1723958.34,1400064.4233333336
2025-11,1891.0,1551.6666666666667,1845370.17,1467555.8133333335
2025-12,1888.0,1625.0,1834286.4,1554084.26
2026-01,2038.0,1688.0,1970256.88,1623050.7933333332
2026-02,1933.0,1772.8333333333333,1850654.2,1717484.843333333
2026-03,2126.0,1828.1666666666667,2126425.2,1780195.0566666666
2026-04,1772.0,1931.6666666666667,1780417.0,1891825.1983333335
2026-05,1847.0,1941.3333333333333,1885731.59,1901234.9750000003
2026-06,1659.0,1934.0,1633235.73,1907961.8783333336
2026-07,1945.0,1895.8333333333333,1909367.6,1874453.4333333333
2026-08,1870.0,1880.3333333333333,1930064.4,1864305.22
2026-09,,1869.83,,1877540.25
2026-10,,1827.14,,1836059.43
2026-11,,1836.33,,1845333.17
