month,actual_orders,predicted_orders,actual_revenue,predicted_revenue
2024-09,1248.0,1257.84,1105403.52,1098315.0
2024-10,1395.0,1401.8,1255234.95,1254578.96
2024-11,1476.0,1457.72,1302643.8,1303635.01
2024-12,1452.0,1462.52,1253889.12,1292005.01
2025-01,1726.0,1717.71,1512959.82,1531534.65
2025-02,1607.0,1596.38,1461373.66,1403635.31
2025-03,1618.0,1618.0,1506325.64,1506325.64
2025-04,1400.0,1464.11,1319010.0,1356587.38
2025-05,1451.0,1415.95,1326199.49,1314427.62
2025-06,1510.0,1463.73,1420487.2,1378676.31
2025-07,1529.0,1521.3,1403652.58,1385728.95
2025-08,1601.0,1621.7,1474392.92,1531441.35
2025-09,1505.0,1520.33,1456644.35,1476046.11
2025-10,1714.0,1763.49,1723958.34,1720115.94
2025-11,1891.0,1821.6,1845370.17,1789264.7
2025-12,1888.0,1880.79,1834286.4,1819718.17
2026-01,2038.0,2046.34,1970256.88,1967803.01
2026-02,1933.0,1950.7,1850654.2,1892903.93
2026-03,2126.0,2069.34,2126425.2,2063307.42
2026-04,1772.0,1811.86,1780417.0,1785577.88
2026-05,1847.0,1810.71,1885731.59,1809233.22
2026-06,1659.0,1728.4,1633235.73,1776500.12
2026-07,1945.0,1932.2,1909367.6,1937173.74
2026-08,1870.0,1959.89,1930064.4,1964070.78
2026-09,,1926.84,,1987305.5
2026-10,,2014.22,,2081393.27
2026-11,,2136.28,,2188986.57
